ORDEMBD,REFERENCE,STUDY_AIM,DATA_TYPE,SPECIES,GENUS,FAMILY,ORDER,IUCN_STATUS,SP_ORIGIN,SITE,AREA_HA,MUNICIPALITY,STATE,COUNTRY,LONG_X,LAT_Y,PRECISION,UC,VEG_TYPE,Annual_rainfall,Annual_temperature,Altitude,Olsoneconame,OlsonG200r,METHOD,N_POINTS,D_POINTS,LTR_EFF,LTR_ABD_10KM,CAM_EFF,CAM_ABD,SURV_EFF,SURV_ABD,COL_STRT_YR,COL_STRT_MO,COL_END_YR,COL_END_MO
MOEC_00282,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.11345,-19.566064, 10m,NA,Acuri forest,1341,27.5,112,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,30,0,NA,NA,2012,March,2017,September
MOEC_00283,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.11345,-19.566064, 10m,NA,Acuri forest,1341,27.5,112,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,30,4,NA,NA,2012,March,2017,September
MOEC_00284,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.11345,-19.566064, 10m,NA,Acuri forest,1341,27.5,112,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,30,0,NA,NA,2012,March,2017,September
MOEC_00285,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.11345,-19.566064, 10m,NA,Acuri forest,1341,27.5,112,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,30,0,NA,NA,2012,March,2017,September
MOEC_00286,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.133278,-19.594181, 10m,NA,Gallery/riparian/Swamp vegetation,1339,27.5,111,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,22,0,NA,NA,2012,March,2017,September
MOEC_00287,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.133278,-19.594181, 10m,NA,Gallery/riparian/Swamp vegetation,1339,27.5,111,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,22,0,NA,NA,2012,March,2017,September
MOEC_00288,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.133278,-19.594181, 10m,NA,Gallery/riparian/Swamp vegetation,1339,27.5,111,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,22,0,NA,NA,2012,March,2017,September
MOEC_00289,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.133278,-19.594181, 10m,NA,Gallery/riparian/Swamp vegetation,1339,27.5,111,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,22,3,NA,NA,2012,March,2017,September
MOEC_00290,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.133278,-19.594181, 10m,NA,Gallery/riparian/Swamp vegetation,1339,27.5,111,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,22,0,NA,NA,2012,March,2017,September
MOEC_00291,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.142795,-19.594182, 10m,NA,River bank,1339,27.5,117,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,14,0,NA,NA,2012,March,2017,September
MOEC_00292,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.142795,-19.594182, 10m,NA,River bank,1339,27.5,117,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,14,0,NA,NA,2012,March,2017,September
MOEC_00293,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.142795,-19.594182, 10m,NA,River bank,1339,27.5,117,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,14,0,NA,NA,2012,March,2017,September
MOEC_00294,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.142795,-19.594182, 10m,NA,River bank,1339,27.5,117,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,14,0,NA,NA,2012,March,2017,September
MOEC_00295,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.142795,-19.594182, 10m,NA,River bank,1339,27.5,117,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,14,1,NA,NA,2012,March,2017,September
